id_pergunta,Posição,Categoria,Modelo de Negócio,Tema,Questão
16,C-Level,Estratégia & Conselho,Manufatura,S&OP e previsibilidade de demanda,Seu Conselho cobrou previsibilidade de margem para 1º semestre. O forecast falhou 3 ciclos; o Diretor Industrial propõe “reforçar reuniões S&OP”. Qual KR você aprova?
12,C-Level,Estratégia & Conselho,E-commerce,devoluções e pressão de margem,"As devoluções cresceram 28% no trimestre, estourando custos de logística reversa; o CMO sugere “mais campanhas de reputação”. O Conselho quer defesa de margem. Qual KR você sugere?"
18,C-Level,Estratégia & Conselho,Multi-frentes,portfólio e choque macro,Mudança macro alterou premissas de 30% do plano; áreas pedem “mais verba”. O Conselho quer valor. Qual KR adotar para os próximos ciclos?
14,C-Level,Cadência de Execução,Manufatura,"manutenção, paradas e OEE",Três paradas não planejadas afetaram OEE; o Gerente de Manutenção quer “trocar mais peças preventivamente”. O board pede continuidade. Qual KR é ideal a se adotar?
10,C-Level,Cadência de Execução,E-commerce,"picos, backlog e SLA","Em duas datas de pico, backlog de picking passou de 18h; o COO quer “mais temporários”. O CFO exige SLA. Qual KR age melhor na situação?"
17,C-Level,Dados & Orçamento,Multi-frentes,FinOps e nuvem fora do orçamento,Os gastos de cloud subiram 31% fora do budget; TI propõe “reservar mais instâncias quando possível”. O Conselho exige disciplina. Qual melhor KR a se propor?
15,C-Level,Dados & Orçamento,Manufatura,"MRP, dados-mestres e aderência de estoque",Divergência entre sistema e físico gerou compras desnecessárias. O PCP quer “ciclos mais longos de inventário”. CFO exige acurácia. Qual KR espera você receber para aprovação?
11,C-Level,Dados & Orçamento,E-commerce,"fraude, chargeback e ROAS",Chargebacks subiram 55% enquanto ROAS caiu; o CFO ameaça cortar mídia. O CMO quer “defender investimento”. Qual proposta de resultado melhor para o cenário?
19,C-Level,Rituais & Governança,Multi-frentes,risco e portões de decisão,Dois projetos críticos escalaram risco sem reação; o PMO quer “relatórios mais completos”. O Conselho pede portões. Quais dos KRs você aprova diante da situação?
13,C-Level,Rituais & Governança,E-commerce,incidentes e resposta,Dois incidentes P1 derrubaram checkout; o CIO propõe “melhorar alertas”. O board exige continuidade. Qual melhor KR para os próximos ciclos?
38,Diretor,Estratégia & Portfólio,Multi-frentes,Estratégia & Portfólio,"O CEO está cobrando foco em ROI após choque macro-econômico. Como diretor, você precisa repriorizar o portfólio sem travar execução. Com base nisso, qual meta apresenta?"
35,Diretor,Estratégia & Portfólio,Manufatura,S&OP & Previsibilidade,O VP de Finanças questiona a previsibilidade do 1º semestre; seu forecast falhou por 3 ciclos. Qual melhor KR a ser utilizado diante desta condição?
33,Diretor,Cadência de Execução,Manufatura,Logística & Continuidade,Você tem a seguinte percepção: atrasos de bobinas e pico de diesel podem romper abastecimento nos próximos 60 dias. Qual melhor resultado chave neste caso?
34,Diretor,Cadência de Execução,Manufatura,Qualidade & Campo,O Presidente viu aumento de reclamações por variação de lote e pediu ação com impacto no refugo. Diante disso qual melhor KR a ser adotado?
30,Diretor,Dados & Orçamento,E-commerce,FinOps & Orçamento,O CFO notificou estouro de cloud (+31%); pede disciplina mensal com regra de corte. O que você sugere?
31,Diretor,Dados & Orçamento,E-commerce,MRP & Estoques,Percepção do diretor: divergência físico×sistema gerou compras desnecessárias; o CFO quer acurácia com efeito em caixa. O que propõe?
36,Diretor,Rituais & Governança,Manufatura,Segurança & Continuidade,O CEO questionou duas quedas de checkout (P1). Você precisa converter “alerta” em SLA de recuperação. Qual melhor meta a ser criada?
39,Diretor,Rituais & Governança,Multi-frentes,Pessoas & Sucessão,"O VP pediu plano B para férias/licenças em cadeiras críticas; duas saídas previstas em sequência. Como diretor de RH, qual considera a melhor sugestão?"
32,Diretor,Estratégia & Portfólio,E-commerce,Comercial & Margem,Percepção do diretor: guerra de preço derrubou margem e defesa de rentabilidade é prioridade do trimestre. Indique a melhor meta neste caso.
37,Diretor,Dados & Orçamento,Multi-frentes,CS & Receita Recorrente,O Presidente pede crescimento com retenção; churn logo-a-logo subiu e expansão estagnou. O que sugere?
55,Gerente,Estratégia & Portfólio,Manufatura,S&OP & Acurácia,O VP cobrou menos oscilação no curto prazo; seu time falhou 2 ciclos no forecast M+1 por falta de travas no início do mês. Qual KR você assume?
57,Gerente,Cadência de Execução,Multi-frentes,Logística & OTIF,Você tem a seguinte percepção: atrasos em duas transportadoras reduziram OTIF na última quinzena; risco de repetir no próximo pico. Qual meta sugere para garantir bons resultados?
59,Gerente,Cadência de Execução,Multi-frentes,Qualidade & Campo,O Presidente notou aumento de reclamações de campo por variação de lote; sua linha teve refugos acima da média. Você sugere então:
50,Gerente,Cadência de Execução,E-commerce,E-commerce & Backlog,O CEO quer estabilidade em datas de pico; seu CD teve backlog de picking >10h em dois eventos recentes. Qual melhor resultado chave para oferecer esta estabildiade?
51,Gerente,Dados & Orçamento,E-commerce,FinOps & Disciplina Mensal,O CFO reportou estouro de cloud; seu squad consome acima do previsto há 3 meses. Qual melhor KR para garantir um comprometimento neste caso?
58,Gerente,Cadência de Execução,Multi-frentes,MRP & Aderência,"Você tem a seguinte percepção: divergências físico×sistema geraram compras extras e risco de ruptura em A-itens. Para se resguar, qual melhor KR?"
53,Gerente,Rituais & Governança,E-commerce,Segurança & MTTR,"O VP exigiu redução de indisponibilidade após dois P1 com queda de faturamento no site. Afim de garantir uma segurança, qual melhor meta a se comprometer?"
54,Gerente,Dados & Orçamento,Manufatura,Equipe & Sucessão,O CEO alertou férias sequenciais em duas posições-chave do turno noturno; você precisa cobrir sem inflar headcount. Qual melhor forma de garantir a reposição?
52,Gerente,Estratégia & Portfólio,E-commerce,Comercial & Mix,"Você tem a seguinte percepção: concorrentes forçam preço e margem caiu no mix de alto volume. Baseado nisso, qual melhor meta de comprometimento?"
56,Gerente,Rituais & Governança,Manufatura,CS & Retenção,O Presidente quer crescer com retenção; churn logo-a-logo subiu e upsell parou. Qual melhor estratégia para atingir o objetivo?
25,Coordenador,Estratégia & Portfólio,Manufatura,Planejamento & Acurácia,"O VP cobrou previsibilidade no forecasting, seu time falhou no M+1 por dois ciclos. Falta travar o plano cedo. Qual melhor sugestão de meta?"
27,Coordenador,Cadência de Execução,Multi-frentes,Logística & OTIF,Você tem a seguinte percepção: atrasos em duas transportadoras reduziram OTIF na última quinzena; risco de repetir no próximo pico. Qual meta sugere para garantir bons resultados?
29,Coordenador,Cadência de Execução,Multi-frentes,Qualidade & Campo,O Presidente notou aumento de reclamações de campo por variação de lote; sua linha teve refugos acima da média. Você sugere então:
20,Coordenador,Cadência de Execução,E-commerce,E-commerce & Backlog,O CEO quer estabilidade em datas de pico; seu CD teve backlog de picking >10h em dois eventos recentes. Qual melhor resultado chave para oferecer esta estabildiade?
21,Coordenador,Dados & Orçamento,E-commerce,FinOps & Disciplina Mensal,O CFO reportou estouro de cloud; seu squad consome acima do previsto há 3 meses. Qual melhor KR para garantir um comprometimento neste caso?
28,Coordenador,Cadência de Execução,Multi-frentes,MRP & Aderência,"Você tem a seguinte percepção: divergências físico×sistema geraram compras extras e risco de ruptura em A-itens. Para se resguar, qual melhor KR?"
23,Coordenador,Rituais & Governança,E-commerce,Segurança & MTTR,"O VP exigiu redução de indisponibilidade após dois P1 com queda de faturamento no site. Afim de garantir uma segurança, qual melhor meta a se comprometer?"
24,Coordenador,Dados & Orçamento,Manufatura,Equipe & Sucessão,O CEO alertou férias sequenciais em duas posições-chave do turno noturno; você precisa cobrir sem inflar headcount. Qual melhor forma de garantir a reposição?
22,Coordenador,Estratégia & Portfólio,E-commerce,Comercial & Mix,"Você tem a seguinte percepção: concorrentes forçam preço e margem caiu no mix de alto volume. Baseado nisso, qual melhor meta de comprometimento?"
26,Coordenador,Rituais & Governança,Manufatura,CS & Retenção,O Presidente quer crescer com retenção; churn logo-a-logo subiu e upsell parou. Qual melhor estratégia para atingir o objetivo?
45,Especialista,Estratégia & Portfólio,Manufatura,Planejamento & Acurácia,"O VP cobrou previsibilidade no forecasting, seu time falhou no M+1 por dois ciclos. Falta travar o plano cedo. Qual melhor sugestão de meta?"
47,Especialista,Cadência de Execução,Multi-frentes,Logística & OTIF,Você tem a seguinte percepção: atrasos em duas transportadoras reduziram OTIF na última quinzena; risco de repetir no próximo pico. Qual meta sugere para garantir bons resultados?
49,Especialista,Cadência de Execução,Multi-frentes,Qualidade & Campo,O Presidente notou aumento de reclamações de campo por variação de lote; sua linha teve refugos acima da média. Você sugere então:
40,Especialista,Cadência de Execução,E-commerce,E-commerce & Backlog,O CEO quer estabilidade em datas de pico; seu CD teve backlog de picking >10h em dois eventos recentes. Qual melhor resultado chave para oferecer esta estabildiade?
41,Especialista,Dados & Orçamento,E-commerce,FinOps & Disciplina Mensal,O CFO reportou estouro de cloud; seu squad consome acima do previsto há 3 meses. Qual melhor KR para garantir um comprometimento neste caso?
48,Especialista,Cadência de Execução,Multi-frentes,MRP & Aderência,"Você tem a seguinte percepção: divergências físico×sistema geraram compras extras e risco de ruptura em A-itens. Para se resguar, qual melhor KR?"
43,Especialista,Rituais & Governança,E-commerce,Segurança & MTTR,"O VP exigiu redução de indisponibilidade após dois P1 com queda de faturamento no site. Afim de garantir uma segurança, qual melhor meta a se comprometer?"
44,Especialista,Dados & Orçamento,Manufatura,Equipe & Sucessão,O CEO alertou férias sequenciais em duas posições-chave do turno noturno; você precisa cobrir sem inflar headcount. Qual melhor forma de garantir a reposição?
42,Especialista,Estratégia & Portfólio,E-commerce,Comercial & Mix,"Você tem a seguinte percepção: concorrentes forçam preço e margem caiu no mix de alto volume. Baseado nisso, qual melhor meta de comprometimento?"
46,Especialista,Rituais & Governança,Manufatura,CS & Retenção,O Presidente quer crescer com retenção; churn logo-a-logo subiu e upsell parou. Qual melhor estratégia para atingir o objetivo?
5,Analista,Estratégia & Portfólio,Manufatura,Planejamento & Acurácia,"O VP cobrou previsibilidade no forecasting, seu time falhou no M+1 por dois ciclos. Falta travar o plano cedo. Qual melhor sugestão de meta?"
7,Analista,Cadência de Execução,Multi-frentes,Logística & OTIF,Você tem a seguinte percepção: atrasos em duas transportadoras reduziram OTIF na última quinzena; risco de repetir no próximo pico. Qual meta sugere para garantir bons resultados?
9,Analista,Cadência de Execução,Multi-frentes,Qualidade & Campo,O Presidente notou aumento de reclamações de campo por variação de lote; sua linha teve refugos acima da média. Você sugere então:
0,Analista,Cadência de Execução,E-commerce,E-commerce & Backlog,O CEO quer estabilidade em datas de pico; seu CD teve backlog de picking >10h em dois eventos recentes. Qual melhor resultado chave para oferecer esta estabildiade?
1,Analista,Dados & Orçamento,E-commerce,FinOps & Disciplina Mensal,O CFO reportou estouro de cloud; seu squad consome acima do previsto há 3 meses. Qual melhor KR para garantir um comprometimento neste caso?
8,Analista,Cadência de Execução,Multi-frentes,MRP & Aderência,"Você tem a seguinte percepção: divergências físico×sistema geraram compras extras e risco de ruptura em A-itens. Para se resguar, qual melhor KR?"
3,Analista,Rituais & Governança,E-commerce,Segurança & MTTR,"O VP exigiu redução de indisponibilidade após dois P1 com queda de faturamento no site. Afim de garantir uma segurança, qual melhor meta a se comprometer?"
4,Analista,Dados & Orçamento,Manufatura,Equipe & Sucessão,O CEO alertou férias sequenciais em duas posições-chave do turno noturno; você precisa cobrir sem inflar headcount. Qual melhor forma de garantir a reposição?
2,Analista,Estratégia & Portfólio,E-commerce,Comercial & Mix,"Você tem a seguinte percepção: concorrentes forçam preço e margem caiu no mix de alto volume. Baseado nisso, qual melhor meta de comprometimento?"
6,Analista,Rituais & Governança,Manufatura,CS & Retenção,O Presidente quer crescer com retenção; churn logo-a-logo subiu e upsell parou. Qual melhor estratégia para atingir o objetivo?
